asicid asicch remapch detid detch
3 28 110 0 110
3 29 -1 0 -1
3 30 111 0 111
3 31 -1 0 -1
3 32 112 0 112
3 33 -1 0 -1
3 34 113 0 113
3 35 -1 0 -1
3 36 114 0 114
3 37 -1 0 -1
3 38 115 0 115
3 39 -1 0 -1
3 40 116 0 116
3 41 -1 0 -1
3 42 117 0 117
3 43 -1 0 -1
3 44 118 0 118
3 45 -1 0 -1
3 46 119 0 119
3 47 -1 0 -1
3 48 120 0 120
3 49 -1 0 -1
3 50 121 0 121
3 51 -1 0 -1
3 52 122 0 122
3 53 -1 0 -1
3 54 123 0 123
3 55 -1 0 -1
3 56 124 0 124
3 57 -1 0 -1
3 58 125 0 125
3 59 -1 0 -1
3 60 126 0 126
3 61 -1 0 -1
3 62 127 0 127
3 63 -1 0 -1
4 0 159 0 159
4 1 -1 0 -1
4 2 158 0 158
4 3 -1 0 -1
4 4 157 0 157
4 5 -1 0 -1
4 6 156 0 156
4 7 -1 0 -1
4 8 155 0 155
4 9 -1 0 -1
4 10 154 0 154
4 11 -1 0 -1
4 12 153 0 153
4 13 -1 0 -1
4 14 152 0 152
4 15 -1 0 -1
4 16 151 0 151
4 17 -1 0 -1
4 18 150 0 150
4 19 -1 0 -1
4 20 149 0 149
4 21 -1 0 -1
4 22 148 0 148
4 23 -1 0 -1
4 24 147 0 147
4 25 -1 0 -1
4 26 146 0 146
4 27 -1 0 -1
4 28 145 0 145
4 29 -1 0 -1
4 30 144 0 144
4 31 -1 0 -1
4 32 143 0 143
4 33 -1 0 -1
4 34 142 0 142
4 35 -1 0 -1
4 36 141 0 141
4 37 -1 0 -1
4 38 140 0 140
4 39 -1 0 -1
4 40 139 0 139
4 41 -1 0 -1
4 42 138 0 138
4 43 -1 0 -1
4 44 137 0 137
4 45 -1 0 -1
4 46 136 0 136
4 47 -1 0 -1
4 48 135 0 135
4 49 -1 0 -1
4 50 134 0 134
4 51 -1 0 -1
4 52 133 0 133
4 53 -1 0 -1
4 54 132 0 132
4 55 -1 0 -1
4 56 131 0 131
4 57 -1 0 -1
4 58 130 0 130
4 59 -1 0 -1
4 60 129 0 129
4 61 -1 0 -1
4 62 128 0 128
4 63 -1 0 -1
5 0 191 0 191
5 1 -1 0 -1
5 2 190 0 190
5 3 -1 0 -1
5 4 189 0 189
5 5 -1 0 -1
5 6 188 0 188
5 7 -1 0 -1
5 8 187 0 187
5 9 -1 0 -1
5 10 186 0 186
5 11 -1 0 -1
5 12 185 0 185
5 13 -1 0 -1
5 14 184 0 184
5 15 -1 0 -1
5 16 183 0 183
5 17 -1 0 -1
5 18 182 0 182
5 19 -1 0 -1
5 20 181 0 181
5 21 -1 0 -1
5 22 180 0 180
5 23 -1 0 -1
5 24 179 0 179
5 25 -1 0 -1
5 26 178 0 178
5 27 -1 0 -1
5 28 177 0 177
5 29 -1 0 -1
5 30 176 0 176
5 31 -1 0 -1
5 32 175 0 175
5 33 -1 0 -1
5 34 174 0 174
5 35 -1 0 -1
5 36 173 0 173
5 37 -1 0 -1
5 38 172 0 172
5 39 -1 0 -1
5 40 171 0 171
5 41 -1 0 -1
5 42 170 0 170
5 43 -1 0 -1
5 44 169 0 169
5 45 -1 0 -1
5 46 168 0 168
5 47 -1 0 -1
5 48 167 0 167
5 49 -1 0 -1
5 50 166 0 166
5 51 -1 0 -1
5 52 165 0 165
5 53 -1 0 -1
5 54 164 0 164
5 55 -1 0 -1
5 56 163 0 163
5 57 -1 0 -1
5 58 162 0 162
5 59 -1 0 -1
5 60 161 0 161
5 61 -1 0 -1
5 62 160 0 160
5 63 -1 0 -1
6 0 223 0 223
6 1 -1 0 -1
6 2 222 0 222
6 3 -1 0 -1
6 4 221 0 221
6 5 -1 0 -1
6 6 220 0 220
6 7 -1 0 -1
6 8 219 0 219
6 9 -1 0 -1
6 10 218 0 218
6 11 -1 0 -1
6 12 217 0 217
6 13 -1 0 -1
6 14 216 0 216
6 15 -1 0 -1
6 16 215 0 215
6 17 -1 0 -1
6 18 214 0 214
6 19 -1 0 -1
6 20 213 0 213
6 21 -1 0 -1
6 22 212 0 212
6 23 -1 0 -1
6 24 211 0 211
6 25 -1 0 -1
6 26 210 0 210
6 27 -1 0 -1
6 28 209 0 209
6 29 -1 0 -1
6 30 208 0 208
6 31 -1 0 -1
6 32 207 0 207
6 33 -1 0 -1
6 34 206 0 206
6 35 -1 0 -1
6 36 205 0 205
6 37 -1 0 -1
6 38 204 0 204
6 39 -1 0 -1
6 40 203 0 203
6 41 -1 0 -1
6 42 202 0 202
6 43 -1 0 -1
6 44 201 0 201
6 45 -1 0 -1
6 46 200 0 200
6 47 -1 0 -1
6 48 199 0 199
6 49 -1 0 -1
6 50 198 0 198
6 51 -1 0 -1
6 52 197 0 197
6 53 -1 0 -1
6 54 196 0 196
6 55 -1 0 -1
6 56 195 0 195
6 57 -1 0 -1
6 58 194 0 194
6 59 -1 0 -1
6 60 193 0 193
6 61 -1 0 -1
6 62 192 0 192
6 63 -1 0 -1
7 0 255 0 255
7 1 -1 0 -1
7 2 254 0 254
7 3 -1 0 -1
7 4 253 0 253
7 5 -1 0 -1
7 6 252 0 252
7 7 -1 0 -1
7 8 251 0 251
7 9 -1 0 -1
7 10 250 0 250
7 11 -1 0 -1
7 12 249 0 249
7 13 -1 0 -1
7 14 248 0 248
7 15 -1 0 -1
7 16 247 0 247
7 17 -1 0 -1
7 18 246 0 246
7 19 -1 0 -1
7 20 245 0 245
7 21 -1 0 -1
7 22 244 0 244
7 23 -1 0 -1
7 24 243 0 243
7 25 -1 0 -1
7 26 242 0 242
7 27 -1 0 -1
7 28 241 0 241
7 29 -1 0 -1
7 30 240 0 240
7 31 -1 0 -1
7 32 239 0 239
7 33 -1 0 -1
7 34 238 0 238
7 35 -1 0 -1
7 36 237 0 237
7 37 -1 0 -1
7 38 236 0 236
7 39 -1 0 -1
7 40 235 0 235
7 41 -1 0 -1
7 42 234 0 234
7 43 -1 0 -1
7 44 233 0 233
7 45 -1 0 -1
7 46 232 0 232
7 47 -1 0 -1
7 48 231 0 231
7 49 -1 0 -1
7 50 230 0 230
7 51 -1 0 -1
7 52 229 0 229
7 53 -1 0 -1
7 54 228 0 228
7 55 -1 0 -1
7 56 227 0 227
7 57 -1 0 -1
7 58 226 0 226
7 59 -1 0 -1
7 60 225 0 225
7 61 -1 0 -1
7 62 224 0 224
7 63 -1 0 -1
