detid detch detector_material detector_HV pos_x pos_y pos_z delta_x delta_y delta_z badch
0 49 1 0 -3.625 -1 0 0.2 -1 0.75 0
0 50 1 0 -3.375 -1 0 0.2 -1 0.75 0
0 51 1 0 -3.125 -1 0 0.2 -1 0.75 0
0 52 1 0 -2.875 -1 0 0.2 -1 0.75 0
0 53 1 0 -2.625 -1 0 0.2 -1 0.75 0
0 54 1 0 -2.375 -1 0 0.2 -1 0.75 0
0 55 1 0 -2.125 -1 0 0.2 -1 0.75 0
0 56 1 0 -1.875 -1 0 0.2 -1 0.75 0
0 57 1 0 -1.625 -1 0 0.2 -1 0.75 0
0 58 1 0 -1.375 -1 0 0.2 -1 0.75 0
0 59 1 0 -1.125 -1 0 0.2 -1 0.75 0
0 60 1 0 -0.875 -1 0 0.2 -1 0.75 0
0 61 1 0 -0.625 -1 0 0.2 -1 0.75 0
0 62 1 0 -0.375 -1 0 0.2 -1 0.75 0
0 63 1 0 -0.125 -1 0 0.2 -1 0.75 0
0 64 1 0 0.125 -1 0 0.2 -1 0.75 0
0 65 1 0 0.375 -1 0 0.2 -1 0.75 0
0 66 1 0 0.625 -1 0 0.2 -1 0.75 0
0 67 1 0 0.875 -1 0 0.2 -1 0.75 0
0 68 1 0 1.125 -1 0 0.2 -1 0.75 0
0 69 1 0 1.375 -1 0 0.2 -1 0.75 0
0 70 1 0 1.625 -1 0 0.2 -1 0.75 0
0 71 1 0 1.875 -1 0 0.2 -1 0.75 0
0 72 1 0 2.125 -1 0 0.2 -1 0.75 0
0 73 1 0 2.375 -1 0 0.2 -1 0.75 0
0 74 1 0 2.625 -1 0 0.2 -1 0.75 0
0 75 1 0 2.875 -1 0 0.2 -1 0.75 0
0 76 1 0 3.125 -1 0 0.2 -1 0.75 0
0 77 1 0 3.375 -1 0 0.2 -1 0.75 0
0 78 1 0 3.625 -1 0 0.2 -1 0.75 0
0 79 1 0 3.875 -1 0 0.2 -1 0.75 0
0 80 1 0 4.125 -1 0 0.2 -1 0.75 0
0 81 1 0 4.375 -1 0 0.2 -1 0.75 0
0 82 1 0 4.625 -1 0 0.2 -1 0.75 0
0 83 1 0 4.875 -1 0 0.2 -1 0.75 0
0 84 1 0 5.125 -1 0 0.2 -1 0.75 0
0 85 1 0 5.375 -1 0 0.2 -1 0.75 0
0 86 1 0 5.625 -1 0 0.2 -1 0.75 0
0 87 1 0 5.875 -1 0 0.2 -1 0.75 0
0 88 1 0 6.125 -1 0 0.2 -1 0.75 0
0 89 1 0 6.375 -1 0 0.2 -1 0.75 0
0 90 1 0 6.625 -1 0 0.2 -1 0.75 0
0 91 1 0 6.875 -1 0 0.2 -1 0.75 0
0 92 1 0 7.125 -1 0 0.2 -1 0.75 0
0 93 1 0 7.375 -1 0 0.2 -1 0.75 0
0 94 1 0 7.625 -1 0 0.2 -1 0.75 0
0 95 1 0 7.875 -1 0 0.2 -1 0.75 0
0 96 1 0 8.125 -1 0 0.2 -1 0.75 0
0 97 1 0 8.375 -1 0 0.2 -1 0.75 0
0 98 1 0 8.625 -1 0 0.2 -1 0.75 0
0 99 1 0 8.875 -1 0 0.2 -1 0.75 0
0 100 1 0 9.125 -1 0 0.2 -1 0.75 0
0 101 1 0 9.375 -1 0 0.2 -1 0.75 0
0 102 1 0 9.625 -1 0 0.2 -1 0.75 0
0 103 1 0 9.875 -1 0 0.2 -1 0.75 0
0 104 1 0 10.125 -1 0 0.2 -1 0.75 0
0 105 1 0 10.375 -1 0 0.2 -1 0.75 0
0 106 1 0 10.625 -1 0 0.2 -1 0.75 0
0 107 1 0 10.875 -1 0 0.2 -1 0.75 0
0 108 1 0 11.125 -1 0 0.2 -1 0.75 0
0 109 1 0 11.375 -1 0 0.2 -1 0.75 0
0 110 1 0 11.625 -1 0 0.2 -1 0.75 0
0 111 1 0 11.875 -1 0 0.2 -1 0.75 0
0 112 1 0 12.125 -1 0 0.2 -1 0.75 0
0 113 1 0 12.375 -1 0 0.2 -1 0.75 0
0 114 1 0 12.625 -1 0 0.2 -1 0.75 0
0 115 1 0 12.875 -1 0 0.2 -1 0.75 0
0 116 1 0 13.125 -1 0 0.2 -1 0.75 0
0 117 1 0 13.375 -1 0 0.2 -1 0.75 0
0 118 1 0 13.625 -1 0 0.2 -1 0.75 0
0 119 1 0 13.875 -1 0 0.2 -1 0.75 0
0 120 1 0 14.125 -1 0 0.2 -1 0.75 0
0 121 1 0 14.375 -1 0 0.2 -1 0.75 0
0 122 1 0 14.625 -1 0 0.2 -1 0.75 0
0 123 1 0 14.875 -1 0 0.2 -1 0.75 0
0 124 1 0 15.125 -1 0 0.2 -1 0.75 0
0 125 1 0 15.375 -1 0 0.2 -1 0.75 0
0 126 1 0 15.625 -1 0 0.2 -1 0.75 0
0 127 1 0 15.875 -1 0 0.2 -1 0.75 1
0 128 1 1 -1 16.125 0 -1 0.2 0.75 1
0 129 1 1 -1 16.375 0 -1 0.2 0.75 0
0 130 1 1 -1 16.625 0 -1 0.2 0.75 0
0 131 1 1 -1 16.875 0 -1 0.2 0.75 0
0 132 1 1 -1 17.125 0 -1 0.2 0.75 0
0 133 1 1 -1 17.375 0 -1 0.2 0.75 0
0 134 1 1 -1 17.625 0 -1 0.2 0.75 0
0 135 1 1 -1 17.875 0 -1 0.2 0.75 0
0 136 1 1 -1 18.125 0 -1 0.2 0.75 0
0 137 1 1 -1 18.375 0 -1 0.2 0.75 0
0 138 1 1 -1 18.625 0 -1 0.2 0.75 0
0 139 1 1 -1 18.875 0 -1 0.2 0.75 0
0 140 1 1 -1 19.125 0 -1 0.2 0.75 0
0 141 1 1 -1 19.375 0 -1 0.2 0.75 0
0 142 1 1 -1 19.625 0 -1 0.2 0.75 0
0 143 1 1 -1 19.875 0 -1 0.2 0.75 0
0 144 1 1 -1 20.125 0 -1 0.2 0.75 0
0 145 1 1 -1 20.375 0 -1 0.2 0.75 0
0 146 1 1 -1 20.625 0 -1 0.2 0.75 0
0 147 1 1 -1 20.875 0 -1 0.2 0.75 0
0 148 1 1 -1 21.125 0 -1 0.2 0.75 0
0 149 1 1 -1 21.375 0 -1 0.2 0.75 0
0 150 1 1 -1 21.625 0 -1 0.2 0.75 0
0 151 1 1 -1 21.875 0 -1 0.2 0.75 0
0 152 1 1 -1 22.125 0 -1 0.2 0.75 0
0 153 1 1 -1 22.375 0 -1 0.2 0.75 0
0 154 1 1 -1 22.625 0 -1 0.2 0.75 0
0 155 1 1 -1 22.875 0 -1 0.2 0.75 0
0 156 1 1 -1 23.125 0 -1 0.2 0.75 0
0 157 1 1 -1 23.375 0 -1 0.2 0.75 0
0 158 1 1 -1 23.625 0 -1 0.2 0.75 0
0 159 1 1 -1 23.875 0 -1 0.2 0.75 0
0 160 1 1 -1 24.125 0 -1 0.2 0.75 0
0 161 1 1 -1 24.375 0 -1 0.2 0.75 0
0 162 1 1 -1 24.625 0 -1 0.2 0.75 0
0 163 1 1 -1 24.875 0 -1 0.2 0.75 0
0 164 1 1 -1 25.125 0 -1 0.2 0.75 0
0 165 1 1 -1 25.375 0 -1 0.2 0.75 0
0 166 1 1 -1 25.625 0 -1 0.2 0.75 0
0 167 1 1 -1 25.875 0 -1 0.2 0.75 0
0 168 1 1 -1 26.125 0 -1 0.2 0.75 0
0 169 1 1 -1 26.375 0 -1 0.2 0.75 0
0 170 1 1 -1 26.625 0 -1 0.2 0.75 0
0 171 1 1 -1 26.875 0 -1 0.2 0.75 0
0 172 1 1 -1 27.125 0 -1 0.2 0.75 0
0 173 1 1 -1 27.375 0 -1 0.2 0.75 0
0 174 1 1 -1 27.625 0 -1 0.2 0.75 0
0 175 1 1 -1 27.875 0 -1 0.2 0.75 0
0 176 1 1 -1 28.125 0 -1 0.2 0.75 0
0 177 1 1 -1 28.375 0 -1 0.2 0.75 0
0 178 1 1 -1 28.625 0 -1 0.2 0.75 0
0 179 1 1 -1 28.875 0 -1 0.2 0.75 0
0 180 1 1 -1 29.125 0 -1 0.2 0.75 0
0 181 1 1 -1 29.375 0 -1 0.2 0.75 0
0 182 1 1 -1 29.625 0 -1 0.2 0.75 0
0 183 1 1 -1 29.875 0 -1 0.2 0.75 0
0 184 1 1 -1 30.125 0 -1 0.2 0.75 0
0 185 1 1 -1 30.375 0 -1 0.2 0.75 0
0 186 1 1 -1 30.625 0 -1 0.2 0.75 0
0 187 1 1 -1 30.875 0 -1 0.2 0.75 0
0 188 1 1 -1 31.125 0 -1 0.2 0.75 0
0 189 1 1 -1 31.375 0 -1 0.2 0.75 0
0 190 1 1 -1 31.625 0 -1 0.2 0.75 0
0 191 1 1 -1 31.875 0 -1 0.2 0.75 0
0 192 1 1 -1 32.125 0 -1 0.2 0.75 0
0 193 1 1 -1 32.375 0 -1 0.2 0.75 0
0 194 1 1 -1 32.625 0 -1 0.2 0.75 0
0 195 1 1 -1 32.875 0 -1 0.2 0.75 0
0 196 1 1 -1 33.125 0 -1 0.2 0.75 0
0 197 1 1 -1 33.375 0 -1 0.2 0.75 0
0 198 1 1 -1 33.625 0 -1 0.2 0.75 0
0 199 1 1 -1 33.875 0 -1 0.2 0.75 0
0 200 1 1 -1 34.125 0 -1 0.2 0.75 0
0 201 1 1 -1 34.375 0 -1 0.2 0.75 0
0 202 1 1 -1 34.625 0 -1 0.2 0.75 0
0 203 1 1 -1 34.875 0 -1 0.2 0.75 0
0 204 1 1 -1 35.125 0 -1 0.2 0.75 0
0 205 1 1 -1 35.375 0 -1 0.2 0.75 0
0 206 1 1 -1 35.625 0 -1 0.2 0.75 0
0 207 1 1 -1 35.875 0 -1 0.2 0.75 0
0 208 1 1 -1 36.125 0 -1 0.2 0.75 0
0 209 1 1 -1 36.375 0 -1 0.2 0.75 0
0 210 1 1 -1 36.625 0 -1 0.2 0.75 0
0 211 1 1 -1 36.875 0 -1 0.2 0.75 0
0 212 1 1 -1 37.125 0 -1 0.2 0.75 0
0 213 1 1 -1 37.375 0 -1 0.2 0.75 0
0 214 1 1 -1 37.625 0 -1 0.2 0.75 0
0 215 1 1 -1 37.875 0 -1 0.2 0.75 0
0 216 1 1 -1 38.125 0 -1 0.2 0.75 0
0 217 1 1 -1 38.375 0 -1 0.2 0.75 0
0 218 1 1 -1 38.625 0 -1 0.2 0.75 0
0 219 1 1 -1 38.875 0 -1 0.2 0.75 0
0 220 1 1 -1 39.125 0 -1 0.2 0.75 0
0 221 1 1 -1 39.375 0 -1 0.2 0.75 0
0 222 1 1 -1 39.625 0 -1 0.2 0.75 0
0 223 1 1 -1 39.875 0 -1 0.2 0.75 0
0 224 1 1 -1 40.125 0 -1 0.2 0.75 0
0 225 1 1 -1 40.375 0 -1 0.2 0.75 0
0 226 1 1 -1 40.625 0 -1 0.2 0.75 0
0 227 1 1 -1 40.875 0 -1 0.2 0.75 0
0 228 1 1 -1 41.125 0 -1 0.2 0.75 0
0 229 1 1 -1 41.375 0 -1 0.2 0.75 0
0 230 1 1 -1 41.625 0 -1 0.2 0.75 0
0 231 1 1 -1 41.875 0 -1 0.2 0.75 0
0 232 1 1 -1 42.125 0 -1 0.2 0.75 0
0 233 1 1 -1 42.375 0 -1 0.2 0.75 0
0 234 1 1 -1 42.625 0 -1 0.2 0.75 0
0 235 1 1 -1 42.875 0 -1 0.2 0.75 0
0 236 1 1 -1 43.125 0 -1 0.2 0.75 0
0 237 1 1 -1 43.375 0 -1 0.2 0.75 0
0 238 1 1 -1 43.625 0 -1 0.2 0.75 0
0 239 1 1 -1 43.875 0 -1 0.2 0.75 0
0 240 1 1 -1 44.125 0 -1 0.2 0.75 0
0 241 1 1 -1 44.375 0 -1 0.2 0.75 0
0 242 1 1 -1 44.625 0 -1 0.2 0.75 0
0 243 1 1 -1 44.875 0 -1 0.2 0.75 0
0 244 1 1 -1 45.125 0 -1 0.2 0.75 0
0 245 1 1 -1 45.375 0 -1 0.2 0.75 0
0 246 1 1 -1 45.625 0 -1 0.2 0.75 0
0 247 1 1 -1 45.875 0 -1 0.2 0.75 0
0 248 1 1 -1 46.125 0 -1 0.2 0.75 0
0 249 1 1 -1 46.375 0 -1 0.2 0.75 0
0 250 1 1 -1 46.625 0 -1 0.2 0.75 0
0 251 1 1 -1 46.875 0 -1 0.2 0.75 0
0 252 1 1 -1 47.125 0 -1 0.2 0.75 0
0 253 1 1 -1 47.375 0 -1 0.2 0.75 0
0 254 1 1 -1 47.625 0 -1 0.2 0.75 0
0 255 1 1 -1 47.875 0 -1 0.2 0.75 1
